2021-07-13 15:31:17,365 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: akoyamparamb
2021-07-13 15:31:17,377 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-13 15:31:17,377 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-07-13 15:31:17,957 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:17,957 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:17,967 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,127 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,127 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:18,137 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,287 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,287 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:18,297 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,462 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,462 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:18,476 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,647 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,647 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:18,657 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,827 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,827 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:18,837 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-07-13 15:31:18,998 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:18,998 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:19,007 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-07-13 15:31:19,171 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:19,171 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:19,183 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-07-13 15:31:19,344 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:19,344 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
2021-07-13 15:31:19,352 | DEBUG | MainThread | api.py:146 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-07-13 15:31:19,518 | DEBUG | MainThread | api.py:172 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-13 15:31:19,518 | DEBUG | MainThread | GeoPolRisk.py:284 -          extractdata() | Exporting database in the format csv
