2021-07-16 16:45:57,019 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:48:52,220 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:49:09,738 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-16 16:49:09,738 | DEBUG | MainThread | api.py:257 -     TotalCalculation() | The period is 2010 for the Country Japan for the resource Cobalt
2021-07-16 16:49:10,367 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2010&r=392&p=all&cc=810520&rg=1&fmt=json
2021-07-16 16:49:13,310 | DEBUG | MainThread | api.py:140 -         traderequest() | 'main' object has no attribute 'quanitity'
2021-07-16 16:49:13,310 | DEBUG | MainThread | api.py:276 -     TotalCalculation() | 
2021-07-16 16:51:13,289 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:51:26,171 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:51:41,941 | DEBUG | MainThread | api.py:257 -     TotalCalculation() | The period is 2012 for the Country Japan for the resource Cobalt
2021-07-16 16:51:42,062 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2012&r=392&p=all&cc=810520&rg=1&fmt=json
2021-07-16 16:51:44,169 | DEBUG | MainThread | api.py:140 -         traderequest() | 'main' object has no attribute 'quanitity'
2021-07-16 16:51:44,169 | DEBUG | MainThread | api.py:276 -     TotalCalculation() | 
2021-07-16 16:52:10,153 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:52:17,995 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:52:29,401 | DEBUG | MainThread | api.py:257 -     TotalCalculation() | The period is 2012 for the Country Japan for the resource Cobalt
2021-07-16 16:52:29,517 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2012&r=392&p=all&cc=810520&rg=1&fmt=json
2021-07-16 16:52:29,877 | DEBUG | MainThread | api.py:140 -         traderequest() | unsupported operand type(s) for -: 'int' and 'str'
2021-07-16 16:52:29,877 | DEBUG | MainThread | api.py:276 -     TotalCalculation() | 
2021-07-16 16:53:46,328 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:53:58,820 | DEBUG | MainThread | api.py:257 -     TotalCalculation() | The period is 2012 for the Country Japan for the resource Cobalt
2021-07-16 16:53:58,930 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2012&r=392&p=all&cc=810520&rg=1&fmt=json
2021-07-16 16:53:59,319 | DEBUG | MainThread | api.py:140 -         traderequest() | can't multiply sequence by non-int of type 'float'
2021-07-16 16:53:59,319 | DEBUG | MainThread | api.py:276 -     TotalCalculation() | 
2021-07-16 16:57:17,992 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:57:29,358 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2012 for the Country Japan for the resource Cobalt
2021-07-16 16:57:29,477 | DEBUG | MainThread | api.py:70 -         traderequest() | https://comtrade.un.org/api/get?max=50000&type=C&freq=A&px=HS&ps=2012&r=392&p=all&cc=810520&rg=1&fmt=json
2021-07-16 16:57:29,988 | DEBUG | MainThread | api.py:143 -         traderequest() | can't multiply sequence by non-int of type 'float'
2021-07-16 16:57:29,988 | DEBUG | MainThread | api.py:279 -     TotalCalculation() | 
2021-07-16 16:58:29,796 | DEBUG | MainThread | GeoPolRisk.py:48 -             __init__() | Username: akoyamparamb
2021-07-16 16:58:29,808 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,810 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,810 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,829 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,831 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,831 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,850 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,850 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,850 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,866 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,866 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,866 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,866 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,882 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,882 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,882 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,882 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,882 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,897 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,897 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,897 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,913 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,913 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,913 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,928 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,928 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,928 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,944 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,944 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,944 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,960 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,960 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,960 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,960 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,960 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,960 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:29,984 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-07-16 16:58:29,985 | DEBUG | MainThread | api.py:310 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-16 16:58:29,986 | DEBUG | MainThread | GeoPolRisk.py:310 -          extractdata() | Exporting database in the format csv
2021-07-16 16:58:30,000 | DEBUG | MainThread | api.py:263 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
