2021-09-02 18:22:18,962 | DEBUG | MainThread | GeoPolRisk.py:47 -             __init__() | Username: anish
2021-09-02 18:22:19,166 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-09-02 18:22:19,168 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,169 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,169 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,183 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,183 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,184 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,194 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,194 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,194 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,202 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,203 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,203 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,212 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,213 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,213 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,221 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,222 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,222 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,229 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,230 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,230 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,243 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,244 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,244 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,252 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,253 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,253 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,260 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,261 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,261 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,270 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,271 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,271 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,281 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,282 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,283 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,290 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-09-02 18:22:19,291 | DEBUG | MainThread | api.py:307 -     TotalCalculation() | No transaction has been made, as data preexists
2021-09-02 18:22:19,291 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-09-02 18:22:19,298 | DEBUG | MainThread | api.py:260 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
