2021-07-02 16:35:13,226 | DEBUG | MainThread | GeoPolRisk.py:52 -             __init__() | Username: akoyamparamb
2021-07-02 16:35:13,249 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-07-02 16:35:13,251 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-07-02 16:35:13,788 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:13,790 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:13,799 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-07-02 16:35:13,970 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:13,970 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:13,980 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-07-02 16:35:14,126 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:14,126 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:14,135 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-07-02 16:35:14,314 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:14,315 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:14,327 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-07-02 16:35:14,500 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:14,500 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:14,512 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-07-02 16:35:14,675 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:14,675 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:14,683 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-07-02 16:35:14,849 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:14,849 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:14,862 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,054 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,055 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,063 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,227 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,227 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,237 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,397 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,398 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,407 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,581 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,582 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,592 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,751 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,751 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,763 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-07-02 16:35:15,928 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:15,928 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:15,936 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
2021-07-02 16:35:16,101 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:16,101 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:16,110 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Manganese
2021-07-02 16:35:16,272 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:16,273 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:16,281 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Manganese
2021-07-02 16:35:16,429 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:16,430 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:16,442 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Iron
2021-07-02 16:35:16,704 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:16,705 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:16,719 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Iron
2021-07-02 16:35:16,965 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:16,965 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:16,977 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Iron
2021-07-02 16:35:17,230 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:17,230 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:17,246 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Iron
2021-07-02 16:35:17,471 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:17,471 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:17,483 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Iron
2021-07-02 16:35:17,697 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:17,697 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:17,708 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Iron
2021-07-02 16:35:17,930 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:17,930 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:17,941 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Iron
2021-07-02 16:35:18,169 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:18,169 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:18,182 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Iron
2021-07-02 16:35:18,402 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:18,402 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:18,414 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Iron
2021-07-02 16:35:18,647 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:18,647 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:18,659 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Iron
2021-07-02 16:35:18,866 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:18,867 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:18,878 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Iron
2021-07-02 16:35:19,117 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:19,117 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:19,130 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Iron
2021-07-02 16:35:19,383 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:19,383 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:19,397 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Iron
2021-07-02 16:35:19,632 | DEBUG | MainThread | GeoPolRisk.py:231 -              getdata() | Requested information exists in database.
2021-07-02 16:35:19,632 | DEBUG | MainThread | api.py:169 -     TotalCalculation() | No transaction has been made, as data preexists
2021-07-02 16:35:19,644 | DEBUG | MainThread | api.py:144 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Iron
