2021-08-30 19:43:55,814 | DEBUG | MainThread | GeoPolRisk.py:47 -             __init__() | Username: akoyamparamb
2021-08-30 19:43:55,833 | INFO | MainThread | utils.py:157 -    _init_num_threads() | NumExpr defaulting to 8 threads.
2021-08-30 19:43:55,834 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,835 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,835 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,846 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,847 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,847 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,857 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,858 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,858 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,869 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,870 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,870 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,880 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,880 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,880 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,889 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,890 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,890 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,900 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,901 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,901 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,910 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,911 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,911 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,921 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2010 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,921 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,922 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,931 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2011 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,932 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,932 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,942 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2012 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,943 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,943 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,952 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2013 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,953 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,953 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,962 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2014 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,963 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,963 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,972 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2015 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,973 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,973 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,983 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2016 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,984 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,984 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:55,993 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2017 for the Country Australia for the resource Manganese
2021-08-30 19:43:55,994 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:55,994 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,004 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2002 for the Country Australia for the resource Iron
2021-08-30 19:43:56,005 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,005 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,016 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2003 for the Country Australia for the resource Iron
2021-08-30 19:43:56,017 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,017 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,027 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2004 for the Country Australia for the resource Iron
2021-08-30 19:43:56,028 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,028 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,037 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2005 for the Country Australia for the resource Iron
2021-08-30 19:43:56,038 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,038 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,047 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2006 for the Country Australia for the resource Iron
2021-08-30 19:43:56,048 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,048 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,058 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2007 for the Country Australia for the resource Iron
2021-08-30 19:43:56,059 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,059 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,068 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2008 for the Country Australia for the resource Iron
2021-08-30 19:43:56,069 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
2021-08-30 19:43:56,069 | DEBUG | MainThread | GeoPolRisk.py:318 -          extractdata() | Exporting database in the format csv
2021-08-30 19:43:56,078 | DEBUG | MainThread | api.py:259 -     TotalCalculation() | The period is 2009 for the Country Australia for the resource Iron
2021-08-30 19:43:56,079 | DEBUG | MainThread | api.py:306 -     TotalCalculation() | No transaction has been made, as data preexists
