id,Country,Resource,Year,RecyclRate,RecyclScene,GeoPolRisk,HHI,WeightAvg
1,Australia,Barytes,2002,0,0,0.013494755305671596,0.242,0.055763451676328915
2,Australia,Barytes,2003,0,0,0.060241913262803926,0.283,0.21286895145867113
3,Australia,Barytes,2004,0,0,0.025115794982055423,0.266,0.0944202818874264
4,Australia,Barytes,2005,0,0,0.051777130539423157,0.298,0.17374876019940658
5,Australia,Barytes,2006,0,0,0.051305124435750034,0.302,0.1698845179991723
6,Australia,Barytes,2007,0,0,0.07518884398767928,0.326,0.23064062572907754
7,Australia,Barytes,2008,0,0,0.05669399213109667,0.311,0.18229579463375134
8,Australia,Barytes,2009,0,0,0.04868709373919656,0.236,0.20630124465761254
9,Australia,Barytes,2010,0,0,0.06269932529305408,0.263,0.23840047639944517
10,Australia,Barytes,2011,0,0,0.08978293108429558,0.266,0.33752981610637434
11,Australia,Barytes,2012,0,0,0.10018368571538021,0.247,0.4056019664590292
12,Australia,Barytes,2013,0,0,0.07711961030425069,0.2,0.38559805152125337
13,Australia,Barytes,2014,0,0,0.08914341028339315,0.24,0.3714308761808048
14,Australia,Barytes,2015,0,0,0.0847358786983957,0.216,0.39229573471479495
15,Australia,Barytes,2016,0,0,0.06744238135288873,0.214,0.3151513147331249
16,Australia,Bismuth,2002,0,0,0.021435297515902698,0.087,0.24638273006784714
17,Australia,Bismuth,2003,0,0,0.043421783295995525,0.091,0.47716245380214867
18,Australia,Bismuth,2004,0,0,0.045718935493668636,0.12,0.3809911291139053
19,Australia,Bismuth,2005,0,0,0.060406953452614896,0.124,0.48715285042431367
20,Australia,Bismuth,2006,0,0,0.025878387512356237,0.109,0.23741639919592877
21,Australia,Bismuth,2007,0,0,0.036384272173941634,0.108,0.3368914090179781
22,Australia,Bismuth,2008,0,0,0.040392253418593,0.115,0.35123698624863475
23,Australia,Bismuth,2009,0,0,0.05072281068160754,0.126,0.4025619895365678
24,Australia,Bismuth,2010,0,0,0.06084364531367971,0.134,0.4540570545796993
25,Australia,Bismuth,2011,0,0,0.05695107408720931,0.132,0.43144753096370686
26,Australia,Bismuth,2012,0,0,0.10150807402071554,0.201,0.5050152936354007
27,Australia,Bismuth,2013,0,0,0.06349366460640057,0.124,0.5120456823096821
28,Australia,Bismuth,2014,0,0,0.0609074375993137,0.118,0.5161647254179127
29,Australia,Bismuth,2015,0,0,0.06371118606182079,0.127,0.5016628823765417
30,Australia,Bismuth,2016,0,0,0.06606352353452147,0.133,0.4967182220640711
31,Australia,Gold,2002,0,0,2.675775266295328e-05,0.076,0.0003520756929335958
32,Australia,Gold,2003,0,0,3.859431014245532e-05,0.072,0.0005360320853118795
33,Australia,Gold,2004,0,0,2.4585859598763788e-05,0.07,0.0003512265656966255
34,Australia,Gold,2005,0,0,1.867524252989872e-05,0.067,0.0002787349631328167
35,Australia,Gold,2006,0,0,2.2682990589682656e-05,0.067,0.00033855209835347244
36,Australia,Gold,2007,0,0,1.9427696820775207e-05,0.066,0.0002943590427390183
37,Australia,Gold,2008,0,0,2.8928760800085096e-05,0.064,0.00045201188750132964
38,Australia,Gold,2009,0,0,2.609181623977318e-05,0.061,0.00042773469245529805
39,Australia,Gold,2010,0,0,2.05893358410395e-05,0.059,0.00034897179391592373
40,Australia,Gold,2011,0,0,1.344660930085567e-05,0.058,0.00023183809139406327
41,Australia,Molybdenum,2002,0,0,0.08967203087195254,0.188,0.4769788876167688
42,Australia,Molybdenum,2003,0,0,0.06926973390350069,0.19,0.36457754686052996
43,Australia,Molybdenum,2004,0,0,0.06445488469477838,0.2,0.3222744234738919
44,Australia,Molybdenum,2005,0,0,0.035403244343999996,0.216,0.163903909
45,Australia,Molybdenum,2006,0,0,0.0245592773336,0.212,0.11584564779999999
46,Australia,Molybdenum,2007,0,0,0.04677012940375242,0.221,0.21162954481335935
47,Australia,Molybdenum,2008,0,0,0.05054538818816667,0.231,0.21881120427777778
48,Australia,Molybdenum,2009,0,0,0.021444621566638344,0.243,0.08824947146764751
49,Australia,Molybdenum,2010,0,0,0.0,0.242,0
50,Australia,Molybdenum,2011,0,0,0.0,0.242,0
