,Year,Resource,Country,Recycling Rate,Recycling Scenario,GeoPolRisk,HHI,Weighted Trade AVerage
603,2012,Magnesium,Canada,0,0,0.2785004399114035,0.766,0.3635775977955659
604,2013,Magnesium,Canada,0,0,0.33261286524227324,0.774,0.42973238403394476
605,2014,Magnesium,Canada,0,0,0.24499405698569712,0.79,0.31011905947556595
606,2015,Magnesium,Canada,0,0,0.2357143718567821,0.789,0.2987507881581522
607,2016,Magnesium,Canada,0,0,0.0,0.79,0
608,2017,Magnesium,Canada,0,0,0.337003434640961,0.848,0.39740971066151065
609,2002,Zirconium,Canada,0,0,0.11307668509773863,0.31,0.3647635003152859
610,2003,Zirconium,Canada,0,0,0.0,0.294,0
611,2004,Zirconium,Canada,0,0,0.09866246192910517,0.269,0.3667749514093129
612,2005,Zirconium,Canada,0,0,0.0,0.264,0
613,2006,Zirconium,Canada,0,0,0.0,0.275,0
614,2007,Zirconium,Canada,0,0,0.0,0.272,0
615,2008,Zirconium,Canada,0,0,0.06386215944033603,0.27,0.236526516445689
616,2009,Zirconium,Canada,0,0,0.06424171608253887,0.25,0.2569668643301555
617,2010,Zirconium,Canada,0,0,0.08121041495913554,0.271,0.29966942789348905
618,2011,Zirconium,Canada,0,0,0.0943528168452962,0.28,0.33697434587605785
619,2012,Zirconium,Canada,0,0,0.0941037717853135,0.295,0.31899583656038477
620,2013,Zirconium,Canada,0,0,0.09394788916636586,0.279,0.33673078554252994
621,2014,Zirconium,Canada,0,0,0.1057433016753276,0.288,0.36716424192822084
622,2015,Zirconium,Canada,0,0,0.1066585941133008,0.303,0.3520085614300356
623,2016,Zirconium,Canada,0,0,0.10762220351033315,0.286,0.3763014108752908
624,2002,Antimony,Canada,0,0,0.0,0.71,0.0
625,2003,Antimony,Canada,0,0,0.0,0.691,0.0
626,2004,Antimony,Canada,0,0,0.016929057249754846,0.725,0.023350423792765307
627,2005,Antimony,Canada,0,0,0.12954688145080856,0.742,0.17459148443505199
628,2006,Antimony,Canada,0,0,0.10815161547673201,0.768,0.14082241598532813
629,2007,Antimony,Canada,0,0,0.2099521901453206,0.787,0.2667753369063794
