,Year,Resource,Country,Recycling Rate,Recycling Scenario,GeoPolRisk,HHI,Weighted Trade AVerage
751,2012,Tungsten,Canada,0,0,0.0005009827964223179,0.669,0.0007488532084040626
752,2013,Tungsten,Canada,0,0,0.0001852876512245844,0.686,0.0002700986169454583
753,2014,Tungsten,Canada,0,0,0.0003865868058480282,0.626,0.0006175508080639428
754,2015,Tungsten,Canada,0,0,0.006181524832590359,0.645,0.00958375943037265
755,2016,Tungsten,Canada,0,0,0.20821323349110823,0.639,0.3258423059328767
756,2002,Uranium,Canada,0,0,1.374283552683703e-05,0.149,9.223379548212772e-05
757,2003,Uranium,Canada,0,0,1.1417599771691375e-07,0.144,7.928888730341233e-07
758,2004,Uranium,Canada,0,0,0.0,0.149,0.0
759,2005,Uranium,Canada,0,0,5.295798751106573e-07,0.147,3.6025841844262404e-06
760,2006,Uranium,Canada,0,0,8.21386873412472e-08,0.13,6.318360564711323e-07
761,2007,Uranium,Canada,0,0,0.0,0.132,0.0
762,2008,Uranium,Canada,0,0,0.0,0.131,0.0
763,2009,Uranium,Canada,0,0,1.723774446049079e-07,0.15,1.1491829640327194e-06
764,2010,Uranium,Canada,0,0,1.4680462169053485e-07,0.164,8.951501322593588e-07
765,2011,Uranium,Canada,0,0,8.756584203815867e-07,0.177,4.947222714020264e-06
766,2012,Uranium,Canada,0,0,2.873006249312768e-07,0.174,1.6511530168464184e-06
767,2013,Uranium,Canada,0,0,1.1666348922036182e-06,0.186,6.272230603245259e-06
768,2014,Uranium,Canada,0,0,9.004853019654054e-07,0.205,4.392611229099539e-06
769,2015,Uranium,Canada,0,0,9.2674102327022e-07,0.209,4.434167575455598e-06
770,2016,Uranium,Canada,0,0,3.858742064723351e-06,0.13,2.9682631267102696e-05
771,2002,Magnesium,Canada,0,0,0.1041218459568952,0.357,0.2916578318120314
772,2003,Magnesium,Canada,0,0,0.14938213212054313,0.529,0.28238588302560136
773,2004,Magnesium,Canada,0,0,0.12217430568436369,0.559,0.21855868637632142
774,2005,Magnesium,Canada,0,0,0.1470067790753154,0.573,0.25655633346477386
775,2006,Magnesium,Canada,0,0,0.12947859805490097,0.599,0.2161579266358948
776,2007,Magnesium,Canada,0,0,0.03701743488557494,0.712,0.051990779333672674
777,2008,Magnesium,Canada,0,0,0.0,0.714,0
778,2009,Magnesium,Canada,0,0,0.0,0.709,0
779,2010,Magnesium,Canada,0,0,0.22299188848168824,0.738,0.3021570304629922
780,2011,Magnesium,Canada,0,0,0.2617050696824478,0.742,0.35270225024588653
781,2012,Magnesium,Canada,0,0,0.2785004399114035,0.766,0.3635775977955659
782,2013,Magnesium,Canada,0,0,0.33261286524227324,0.774,0.42973238403394476
783,2014,Magnesium,Canada,0,0,0.24499405698569712,0.79,0.31011905947556595
784,2015,Magnesium,Canada,0,0,0.2357143718567821,0.789,0.2987507881581522
785,2016,Magnesium,Canada,0,0,0.0,0.79,0
786,2017,Magnesium,Canada,0,0,0.337003434640961,0.848,0.39740971066151065
787,2002,Mercury,Canada,0,0,0.02398314383891902,0.064,0.3747366224831097
788,2003,Mercury,Canada,0,0,0.024167194523937077,0.066,0.36616961399904663
789,2004,Mercury,Canada,0,0,0.039280023380006315,0.102,0.38509826843143447
790,2005,Mercury,Canada,0,0,0.03836945168768571,0.1,0.3836945168768571
791,2006,Mercury,Canada,0,0,0.014404575825611925,0.062,0.23233186815503107
792,2007,Mercury,Canada,0,0,0.018901156034075304,0.067,0.28210680647873587
793,2008,Mercury,Canada,0,0,0.02684000203325395,0.125,0.2147200162660316
794,2009,Mercury,Canada,0,0,0.03413566106683324,0.144,0.2370532018530086
795,2010,Mercury,Canada,0,0,0.051064146186961624,0.153,0.33375258945726555
796,2011,Mercury,Canada,0,0,0.0,0.139,0
797,2012,Mercury,Canada,0,0,0.03298952190196099,0.122,0.2704059172291885
798,2013,Mercury,Canada,0,0,0.05376539789832,0.177,0.30375931016
799,2014,Mercury,Canada,0,0,0.07942690546733111,0.223,0.35617446397906327
800,2015,Mercury,Canada,0,0,0.1434985285872336,0.276,0.5199222050262087
801,2016,Mercury,Canada,0,0,0.04314012405084746,0.34,0.12688271779661017
802,2017,Mercury,Canada,0,0,0.20771638341299928,0.354,0.5867694446694895
803,2002,Manganese,EU28,0,0,0.04293756253685796,0.119,0.36081985325090726
804,2003,Manganese,EU28,0,0,0.04256100632238604,0.113,0.376646073649434
805,2004,Manganese,EU28,0,0,0.03876081905562855,0.116,0.3341449918588668
806,2005,Manganese,EU28,0,0,0.04723898180478417,0.129,0.3661936574014277
807,2006,Manganese,EU28,0,0,0.0,0.136,0.0
808,2007,Manganese,EU28,0,0,0.04258143710185486,0.153,0.278310046417352
809,2008,Manganese,EU28,0,0,0.04592687981870981,0.152,0.3021505251230909
810,2009,Manganese,EU28,0,0,0.0427833897256454,0.173,0.2473028307840775
811,2010,Manganese,EU28,0,0,0.04421908914389369,0.15,0.29479392762595796
812,2011,Manganese,EU28,0,0,0.0537308219344009,0.16,0.3358176370900056
813,2012,Manganese,EU28,0,0,0.057109847517501304,0.165,0.3461202879848564
814,2013,Manganese,EU28,0,0,0.05957541520098561,0.159,0.3746881459181485
815,2014,Manganese,EU28,0,0,0.06673056611174345,0.174,0.3835090006422038
816,2015,Manganese,EU28,0,0,0.07555096070791009,0.195,0.3874408241431287
817,2016,Manganese,EU28,0,0,0.07883736117193112,0.184,0.42846391941266915
818,2017,Manganese,EU28,0,0,0.06905673172892716,0.153,0.4513511877707658
819,2002,Iron,EU28,0,0,0.036679192155952015,0.129,0.2843348229143567
820,2003,Iron,EU28,0,0,0.04108567163902041,0.131,0.31363108121389627
821,2004,Iron,EU28,0,0,0.04404783129974833,0.137,0.32151701678648414
822,2005,Iron,EU28,0,0,0.05107180102637707,0.151,0.33822384785680176
823,2006,Iron,EU28,0,0,0.053606866012121494,0.172,0.3116678256518692
824,2007,Iron,EU28,0,0,0.05038829946678031,0.186,0.2709048358429049
825,2008,Iron,EU28,0,0,0.056149509992615095,0.198,0.28358338380108633
826,2009,Iron,EU28,0,0,0.048254492513069056,0.212,0.22761553072202384
827,2010,Iron,EU28,0,0,0.06111941697479267,0.224,0.2728545400660387
828,2011,Iron,EU28,0,0,0.07834910101489959,0.249,0.31465502415622326
829,2012,Iron,EU28,0,0,0.0745415127212461,0.249,0.2993635049046028
830,2013,Iron,EU28,0,0,0.0718536871883102,0.26,0.2763603353396546
831,2014,Iron,EU28,0,0,0.0900487348745752,0.263,0.34239062689952543
832,2015,Iron,EU28,0,0,0.09065926509866755,0.254,0.35692624054593525
833,2016,Iron,EU28,0,0,0.08426225003573895,0.24,0.35109270848224566
834,2017,Iron,EU28,0,0,0.07311546173277857,0.228,0.32068184970516916
835,2002,Copper,EU28,0,0,0.056716850477514624,0.148,0.38322196268590963
836,2003,Copper,EU28,0,0,0.060855434983446484,0.16,0.38034646864654054
837,2004,Copper,EU28,0,0,0.04323846860219935,0.168,0.25737183691785326
838,2005,Copper,EU28,0,0,0.04700382867514264,0.156,0.3013065940714272
839,2006,Copper,EU28,0,0,0.04251198324005258,0.156,0.2725127130772601
840,2007,Copper,EU28,0,0,0.04021155684493688,0.157,0.2561245658913177
841,2008,Copper,EU28,0,0,0.03784060588226585,0.148,0.2556797694747693
842,2009,Copper,EU28,0,0,0.037876335603943885,0.147,0.2576621469656047
843,2010,Copper,EU28,0,0,0.03912166392508817,0.143,0.273578069406211
844,2011,Copper,EU28,0,0,0.04028046284199908,0.139,0.289787502460425
845,2012,Copper,EU28,0,0,0.041545714923224175,0.137,0.30325339360017645
846,2013,Copper,EU28,0,0,0.04031888197818311,0.132,0.3054460755922963
847,2014,Copper,EU28,0,0,0.03663805926367815,0.13,0.2818312251052165
848,2015,Copper,EU28,0,0,0.033948416793390994,0.123,0.2760033885641544
849,2016,Copper,EU28,0,0,0.031046727911098485,0.111,0.2797002514513377
850,2017,Copper,EU28,0,0,0.031568965780168906,0.113,0.27937137858556554
851,2002,Barytes,EU28,0,0,0.05801154357109211,0.242,0.2397171221945955
852,2003,Barytes,EU28,0,0,0.07168160301790573,0.283,0.2532918834554973
853,2004,Barytes,EU28,0,0,0.059726579397411446,0.266,0.22453601277222346
854,2005,Barytes,EU28,0,0,0.0766226018739122,0.298,0.2571228250802423
855,2006,Barytes,EU28,0,0,0.07916889216680417,0.302,0.2621486495589542
856,2007,Barytes,EU28,0,0,0.09695663208599742,0.326,0.29741298185888776
857,2008,Barytes,EU28,0,0,0.1027769401548029,0.311,0.3304724763820029
858,2009,Barytes,EU28,0,0,0.07115711327803884,0.236,0.30151319185609676
859,2010,Barytes,EU28,0,0,0.10616934924141025,0.263,0.4036857385604952
860,2011,Barytes,EU28,0,0,0.1176277114644304,0.266,0.442209441595603
861,2012,Barytes,EU28,0,0,0.11119614291722364,0.247,0.45018681343005523
862,2013,Barytes,EU28,0,0,0.09218961336862803,0.2,0.46094806684314016
863,2014,Barytes,EU28,0,0,0.09639313394260754,0.24,0.4016380580941981
864,2015,Barytes,EU28,0,0,0.08078138284307443,0.216,0.373987883532752
865,2016,Barytes,EU28,0,0,0.06339553335719658,0.214,0.29624081008035785
866,2002,Bismuth,EU28,0,0,0.04148975788376764,0.087,0.4768937687789384
867,2003,Bismuth,EU28,0,0,0.04540378466226833,0.091,0.4989426885963553
868,2004,Bismuth,EU28,0,0,0.04908633250644336,0.12,0.409052770887028
869,2005,Bismuth,EU28,0,0,0.05821717619804577,0.124,0.469493356435853
870,2006,Bismuth,EU28,0,0,0.0,0.109,0.0
871,2007,Bismuth,EU28,0,0,0.04463019690321142,0.108,0.41324256391862424
872,2008,Bismuth,EU28,0,0,0.044942334692434874,0.115,0.3908029103689989
873,2009,Bismuth,EU28,0,0,0.046573673754331024,0.126,0.36963233138357954
874,2010,Bismuth,EU28,0,0,0.05081936981173591,0.134,0.37924902844579034
875,2011,Bismuth,EU28,0,0,0.05721452825475977,0.132,0.4334433958693922
876,2012,Bismuth,EU28,0,0,0.08925532222110162,0.201,0.444056329458217
877,2013,Bismuth,EU28,0,0,0.06432618320967218,0.124,0.5187595420134853
878,2014,Bismuth,EU28,0,0,0.06009847262718911,0.118,0.5093090900609247
879,2015,Bismuth,EU28,0,0,0.06245633426473977,0.127,0.49178215956488003
880,2016,Bismuth,EU28,0,0,0.06695512567163647,0.133,0.5034219975311013
881,2002,Gold,EU28,0,0,0.0002397334984864459,0.076,0.003154388137979551
882,2003,Gold,EU28,0,0,0.00022229588996197053,0.072,0.00308744291613848
883,2004,Gold,EU28,0,0,0.00013722430065098403,0.07,0.0019603471521569145
884,2005,Gold,EU28,0,0,6.901851639343967e-05,0.067,0.0010301271103498458
885,2006,Gold,EU28,0,0,8.906062102935642e-05,0.067,0.0013292630004381554
886,2007,Gold,EU28,0,0,6.575841944992046e-05,0.066,0.0009963396886351586
887,2008,Gold,EU28,0,0,6.723509874095006e-05,0.064,0.0010505484178273447
888,2009,Gold,EU28,0,0,6.75722223475383e-05,0.061,0.0011077413499596444
889,2010,Gold,EU28,0,0,6.017892102858452e-05,0.059,0.0010199817123488903
890,2011,Gold,EU28,0,0,7.628470470821912e-05,0.058,0.0013152535294520538
891,2012,Gold,EU28,0,0,0.00010882759490037518,0.059,0.00184453550678602
892,2013,Gold,EU28,0,0,3.529164641834264e-05,0.057,0.0006191516915498708
893,2014,Gold,EU28,0,0,4.7040165890640956e-05,0.057,0.0008252660682568589
894,2015,Gold,EU28,0,0,4.65202874837657e-05,0.056,0.0008307194193529589
895,2016,Gold,EU28,0,0,0.00015333966838961964,0.056,0.002738208364100351
896,2002,Molybdenum,EU28,0,0,0.06637578719112072,0.188,0.35306269782511024
897,2003,Molybdenum,EU28,0,0,0.07105939161520036,0.19,0.3739967979747388
898,2004,Molybdenum,EU28,0,0,0.061424375858309704,0.2,0.3071218792915485
899,2005,Molybdenum,EU28,0,0,0.07370195666783556,0.216,0.34121276235109055
900,2006,Molybdenum,EU28,0,0,0.058537134863391724,0.212,0.2761185606763761
901,2007,Molybdenum,EU28,0,0,0.06199082993548743,0.221,0.2805014929207576
902,2008,Molybdenum,EU28,0,0,0.06151009536295961,0.231,0.26627746910372124
903,2009,Molybdenum,EU28,0,0,0.0,0.243,0
904,2010,Molybdenum,EU28,0,0,0.07174307113357888,0.242,0.296458971626359
905,2011,Molybdenum,EU28,0,0,0.10414497833855174,0.242,0.43035115015930475
906,2012,Molybdenum,EU28,0,0,0.0891982468920445,0.263,0.33915683228914256
907,2013,Molybdenum,EU28,0,0,0.06222057483658474,0.261,0.23839300703672314
908,2014,Molybdenum,EU28,0,0,0.0598711363782127,0.26,0.23027360145466425
909,2015,Molybdenum,EU28,0,0,0.08798360793951078,0.283,0.31089614112901337
910,2016,Molybdenum,EU28,0,0,0.0993824976604816,0.281,0.353674368898511
911,2002,Nickel,EU28,0,0,0.012548651677449594,0.116,0.10817803170215166
912,2003,Nickel,EU28,0,0,0.0,0.115,0.0
913,2004,Nickel,EU28,0,0,0.017841453431734905,0.117,0.1524910549720932
914,2005,Nickel,EU28,0,0,0.01877814674438501,0.105,0.1788394928036668
915,2006,Nickel,EU28,0,0,0.013819964388133424,0.101,0.13683133057557845
916,2007,Nickel,EU28,0,0,0.018501126282973058,0.111,0.16667681336011764
917,2008,Nickel,EU28,0,0,0.0,0.11,0.0
918,2009,Nickel,EU28,0,0,0.02025285453175622,0.108,0.18752643084959464
919,2010,Nickel,EU28,0,0,0.0343570901835625,0.112,0.306759733781808
920,2011,Nickel,EU28,0,0,0.0,0.135,0.0
921,2012,Nickel,EU28,0,0,0.09785137610176046,0.188,0.5204860430944706
922,2013,Nickel,EU28,0,0,0.11583008417162079,0.226,0.5125224963346052
923,2014,Nickel,EU28,0,0,0.035880860460858414,0.102,0.35177314177312174
924,2015,Nickel,EU28,0,0,0.0,0.1,0.0
925,2016,Nickel,EU28,0,0,0.018252869871905355,0.087,0.20980310197592364
926,2017,Nickel,EU28,0,0,0.01871213467340118,0.093,0.20120574917635678
927,2002,Zinc,EU28,0,0,0.026467949665911004,0.104,0.25449951601837506
928,2003,Zinc,EU28,0,0,0.0,0.111,0.0
929,2004,Zinc,EU28,0,0,0.029114920533963598,0.117,0.24884547464926152
930,2005,Zinc,EU28,0,0,0.03462069491530136,0.116,0.29845426651121865
931,2006,Zinc,EU28,0,0,0.029505019285644436,0.121,0.24384313459210277
932,2007,Zinc,EU28,0,0,0.029192274789651015,0.126,0.23168472055278583
933,2008,Zinc,EU28,0,0,0.02551316483061751,0.129,0.1977764715551745
934,2009,Zinc,EU28,0,0,0.0265121562999548,0.129,0.2055205914725178
935,2010,Zinc,EU28,0,0,0.036019194223625754,0.139,0.2591308936951493
936,2011,Zinc,EU28,0,0,0.028433215992715862,0.146,0.1947480547446292
937,2012,Zinc,EU28,0,0,0.04599628912240279,0.168,0.27378743525239757
938,2013,Zinc,EU28,0,0,0.05036211080303122,0.181,0.27824370609409516
939,2014,Zinc,EU28,0,0,0.049653498339628926,0.176,0.28212214965698257
940,2015,Zinc,EU28,0,0,0.0,0.166,0.0
941,2016,Zinc,EU28,0,0,0.05585727768991751,0.174,0.3210188372983765
942,2017,Zinc,EU28,0,0,0.05255452089088417,0.158,0.33262354994230486
943,2002,Cadmium,EU28,0,0,0.013039105893960136,0.065,0.20060162913784824
944,2003,Cadmium,EU28,0,0,0.025062347978883164,0.106,0.23643724508380345
945,2004,Cadmium,EU28,0,0,0.020965143857983645,0.09,0.23294604286648496
946,2005,Cadmium,EU28,0,0,0.0,0.087,0.0
947,2006,Cadmium,EU28,0,0,0.0,0.092,0.0
948,2007,Cadmium,EU28,0,0,0.01955142447050498,0.091,0.2148508183571976
949,2008,Cadmium,EU28,0,0,0.027849898581569558,0.126,0.22103094112356791
950,2009,Cadmium,EU28,0,0,0.0,0.131,0.0
951,2010,Cadmium,EU28,0,0,0.028598237001899462,0.132,0.21665331062045046
952,2011,Cadmium,EU28,0,0,0.028386296754935526,0.121,0.23459749384244236
953,2012,Cadmium,EU28,0,0,0.0,0.134,0.0
954,2013,Cadmium,EU28,0,0,0.02676710021416586,0.136,0.19681691333945484
955,2014,Cadmium,EU28,0,0,0.02856479611639358,0.146,0.19564928846844917
956,2015,Cadmium,EU28,0,0,0.023140590363223166,0.15,0.15427060242148777
957,2016,Cadmium,EU28,0,0,0.0,0.132,0.0
958,2017,Cadmium,EU28,0,0,0.0234697717921601,0.14,0.16764122708685783
959,2002,Rare earth,EU28,0,0,0.41906358057235327,0.855,0.4901328427746822
960,2003,Rare earth,EU28,0,0,0.42307614595817694,0.864,0.48967146522937144
961,2004,Rare earth,EU28,0,0,0.36678287036711615,0.89,0.412115584682153
962,2005,Rare earth,EU28,0,0,0.408510159870035,0.907,0.4503970891621113
963,2006,Rare earth,EU28,0,0,0.40411700119343014,0.92,0.43925760999285884
964,2007,Rare earth,EU28,0,0,0.35068008096300723,0.911,0.3849397156564294
965,2008,Rare earth,EU28,0,0,0.34789363863808426,0.918,0.3789691052702443
966,2009,Rare earth,EU28,0,0,0.0,0.84,0
967,2010,Rare earth,EU28,0,0,0.3476985387473553,0.812,0.42820017087112716
968,2011,Rare earth,EU28,0,0,0.31165134721138565,0.789,0.3949953703566358
969,2012,Rare earth,EU28,0,0,0.3609711730354205,0.757,0.47684435011284076
970,2013,Rare earth,EU28,0,0,0.23384719132711898,0.741,0.3155832541526572
971,2014,Rare earth,EU28,0,0,0.2882938134473133,0.692,0.416609557004788
972,2015,Rare earth,EU28,0,0,0.25234891898580153,0.647,0.3900292410908834
973,2016,Rare earth,EU28,0,0,0.30288044084369126,0.66,0.45890975885407764
974,2017,Rare earth,EU28,0,0,0.2601479777690303,0.637,0.40839556949612293
975,2002,Silver,EU28,0,0,6.137083182020854e-06,0.092,6.670742589153102e-05
976,2003,Silver,EU28,0,0,7.032990043622155e-06,0.092,7.644554395241473e-05
977,2004,Silver,EU28,0,0,4.558772387144036e-06,0.093,4.901905792627995e-05
978,2005,Silver,EU28,0,0,1.0853892244146524e-06,0.093,1.1670851875426369e-05
979,2006,Silver,EU28,0,0,1.820864169082711e-05,0.097,0.00018771795557553721
980,2007,Silver,EU28,0,0,1.2479579345258841e-05,0.097,0.00012865545716761692
981,2008,Silver,EU28,0,0,8.2018812175307e-05,0.097,0.0008455547646938865
982,2009,Silver,EU28,0,0,0.00012486769301002686,0.098,0.001274160132755376
983,2010,Silver,EU28,0,0,0.00017461669036761106,0.1,0.0017461669036761105
984,2011,Silver,EU28,0,0,0.00020257993314002143,0.104,0.001947883972500206
985,2012,Silver,EU28,0,0,0.0001953959511763738,0.107,0.0018261303848259235
986,2013,Silver,EU28,0,0,7.21011726021631e-05,0.11,0.0006554652054742101
987,2014,Silver,EU28,0,0,7.67314949329255e-05,0.102,0.0007522695581659364
988,2015,Silver,EU28,0,0,5.705805855760721e-05,0.103,0.000553961733569002
989,2016,Silver,EU28,0,0,6.705614168483235e-05,0.101,0.0006639221948993302
990,2017,Silver,EU28,0,0,0.00013676561950657498,0.109,0.0012547304541887614
991,2002,Magnesium,EU28,0,0,0.2073309313110333,0.357,0.5807589112353875
992,2003,Magnesium,EU28,0,0,0.29170134780217205,0.529,0.5514203172063744
993,2004,Magnesium,EU28,0,0,0.25863408813050254,0.559,0.462672787353314
994,2005,Magnesium,EU28,0,0,0.2872052299495475,0.573,0.5012307678002574
995,2006,Magnesium,EU28,0,0,0.28331819913490314,0.599,0.47298530740384503
996,2007,Magnesium,EU28,0,0,0.3168756575642475,0.712,0.44505008084866227
997,2008,Magnesium,EU28,0,0,0.3422033721299893,0.714,0.47927643155460686
998,2009,Magnesium,EU28,0,0,0.3617983235185723,0.709,0.5102938272476337
999,2010,Magnesium,EU28,0,0,0.37708710978656174,0.738,0.5109581433422246
1000,2011,Magnesium,EU28,0,0,0.4127777494072932,0.742,0.5563042444842227
1001,2012,Magnesium,EU28,0,0,0.4923415376270017,0.766,0.6427435217062686
1002,2013,Magnesium,EU28,0,0,0.5205846066383085,0.774,0.6725899310572462
1003,2014,Magnesium,EU28,0,0,0.48746198018205295,0.79,0.617040481243105
1004,2015,Magnesium,EU28,0,0,0.5457389062473338,0.789,0.6916842918217158
1005,2016,Magnesium,EU28,0,0,0.6256598959746424,0.79,0.791974551866636
1006,2017,Magnesium,EU28,0,0,0.6310716791402012,0.848,0.7441883008728788
1007,2002,Zirconium,EU28,0,0,0.11246271433276529,0.31,0.3627829494605332
1008,2003,Zirconium,EU28,0,0,0.10233708440686094,0.294,0.34808532111177193
1009,2004,Zirconium,EU28,0,0,0.07310247985233677,0.269,0.27175643067783184
1010,2005,Zirconium,EU28,0,0,0.08350595873429179,0.264,0.3163104497511052
1011,2006,Zirconium,EU28,0,0,0.06780125041382304,0.275,0.24655000150481104
1012,2007,Zirconium,EU28,0,0,0.05704463928907152,0.272,0.20972293856276292
1013,2008,Zirconium,EU28,0,0,0.08078619552751579,0.27,0.29920813158339177
1014,2009,Zirconium,EU28,0,0,0.07170068619102284,0.25,0.28680274476409134
1015,2010,Zirconium,EU28,0,0,0.07588230268808016,0.271,0.28000849700398583
1016,2011,Zirconium,EU28,0,0,0.08742036985444984,0.28,0.3122156066230351
1017,2012,Zirconium,EU28,0,0,0.09610466740815739,0.295,0.32577853358697423
1018,2013,Zirconium,EU28,0,0,0.09066676046893116,0.279,0.3249704676305776
1019,2014,Zirconium,EU28,0,0,0.11230220351873638,0.288,0.38993820666227913
1020,2015,Zirconium,EU28,0,0,0.09095499668002734,0.303,0.3001815071948097
1021,2016,Zirconium,EU28,0,0,0.11218015285474484,0.286,0.39223829669491206
1022,2002,Antimony,EU28,0,0,0.3832505488117677,0.71,0.5397895053686869
1023,2003,Antimony,EU28,0,0,0.37600045972183294,0.691,0.544139594387602
1024,2004,Antimony,EU28,0,0,0.3364921262102967,0.725,0.46412707063489206
1025,2005,Antimony,EU28,0,0,0.41113981164164853,0.742,0.5540967811882056
1026,2006,Antimony,EU28,0,0,0.39234959377897005,0.768,0.5108718668997005
1027,2007,Antimony,EU28,0,0,0.37442495968104805,0.787,0.4757623375871004
1028,2008,Antimony,EU28,0,0,0.2967645054078529,0.698,0.4251640478622534
1029,2009,Antimony,EU28,0,0,0.3055639193435715,0.732,0.41743704828356765
1030,2010,Antimony,EU28,0,0,0.3074118358652389,0.623,0.4934379387885055
1031,2011,Antimony,EU28,0,0,0.31717830404716985,0.602,0.5268742592145679
1032,2012,Antimony,EU28,0,0,0.35126283938219227,0.586,0.5994246405839458
1033,2013,Antimony,EU28,0,0,0.3621327471912404,0.613,0.5907548893821214
1034,2014,Antimony,EU28,0,0,0.3536502732466279,0.595,0.5943702071371898
1035,2015,Antimony,EU28,0,0,0.3727877829373432,0.587,0.6350728840499885
1036,2016,Antimony,EU28,0,0,0.20547676998402184,0.557,0.36889904844528154
1037,2002,Asbestos,EU28,0,0,0.10788114719350592,0.293,0.36819504161606115
1038,2003,Asbestos,EU28,0,0,0.10032043810038206,0.294,0.34122597993327236
1039,2004,Asbestos,EU28,0,0,0.14564373987707133,0.297,0.4903829625490618
1040,2005,Asbestos,EU28,0,0,0.0,0.321,0
1041,2006,Asbestos,EU28,0,0,0.1857342038754672,0.337,0.5511400708470837
1042,2007,Asbestos,EU28,0,0,0.0,0.351,0
1043,2008,Asbestos,EU28,0,0,0.0,0.354,0
1044,2009,Asbestos,EU28,0,0,0.028439066437800368,0.346,0.08219383363526118
1045,2010,Asbestos,EU28,0,0,0.04211563549856033,0.352,0.11964669175727367
1046,2011,Asbestos,EU28,0,0,0.10079405830200479,0.352,0.28634675653978636
1047,2012,Asbestos,EU28,0,0,0.12933956347151754,0.343,0.3770832754271648
1048,2013,Asbestos,EU28,0,0,0.0882300767404705,0.328,0.26899413640387343
1049,2014,Asbestos,EU28,0,0,0.0584452534171985,0.315,0.1855404870387254
1050,2015,Asbestos,EU28,0,0,0.053865475631349316,0.3,0.17955158543783106
1051,2016,Asbestos,EU28,0,0,0.13937430406770904,0.304,0.45846810548588496
1052,2002,Chromium,EU28,0,0,0.05908588285053781,0.272,0.21722751047991842
1053,2003,Chromium,EU28,0,0,0.05694609839392854,0.283,0.2012229625227157
1054,2004,Chromium,EU28,0,0,0.04075718425322344,0.247,0.16500884313045927
1055,2005,Chromium,EU28,0,0,0.040051781627446686,0.228,0.17566570889231
1056,2006,Chromium,EU28,0,0,0.03185927552180385,0.214,0.14887511926076566
1057,2007,Chromium,EU28,0,0,0.030806517467894524,0.228,0.1351163046837479
1058,2008,Chromium,EU28,0,0,0.032216577969398266,0.221,0.1457763709022546
1059,2009,Chromium,EU28,0,0,0.031923054479261276,0.212,0.15058044565689283
1060,2010,Chromium,EU28,0,0,0.024150128302348733,0.221,0.10927659865316168
1061,2011,Chromium,EU28,0,0,0.031704954392759624,0.231,0.13725088481714123
1062,2012,Chromium,EU28,0,0,0.04786704853456578,0.24,0.19944603556069077
1063,2013,Chromium,EU28,0,0,0.027989864950674858,0.254,0.11019631870344432
1064,2014,Chromium,EU28,0,0,0.017884227811923423,0.253,0.0706886474779582
1065,2015,Chromium,EU28,0,0,0.0298681893614007,0.272,0.10980951971103198
1066,2016,Chromium,EU28,0,0,0.024710185469885577,0.254,0.09728419476332904
1067,2002,Graphite,EU28,0,0,0.24549003226342236,0.672,0.3653125480110452
1068,2003,Graphite,EU28,0,0,0.2838484332169865,0.719,0.3947822436953915
1069,2004,Graphite,EU28,0,0,0.23874809081474632,0.685,0.34853735885364423
1070,2005,Graphite,EU28,0,0,0.28593365615579236,0.708,0.40386109626524347
1071,2006,Graphite,EU28,0,0,0.2389033330825553,0.697,0.34275944488171495
1072,2007,Graphite,EU28,0,0,0.20127420802369186,0.528,0.38120115156002243
1073,2008,Graphite,EU28,0,0,0.19098640659776944,0.588,0.3248068139417848
1074,2009,Graphite,EU28,0,0,0.1430446156786786,0.662,0.216079479877158
1075,2010,Graphite,EU28,0,0,0.28661088033847465,0.719,0.3986243120145684
1076,2011,Graphite,EU28,0,0,0.22299936798687897,0.6,0.37166561331146497
1077,2012,Graphite,EU28,0,0,0.16804630030609524,0.485,0.3464872171259696
1078,2013,Graphite,EU28,0,0,0.188125750413387,0.487,0.3862951753868316
1079,2014,Graphite,EU28,0,0,0.1972069582673838,0.507,0.3889683595017432
1080,2015,Graphite,EU28,0,0,0.15948968106335584,0.488,0.32682311693310623
1081,2016,Graphite,EU28,0,0,0.1464945091659109,0.402,0.3644142019052509
1082,2017,Graphite,EU28,0,0,0.14193036480861262,0.424,0.33474142643540716
1083,2002,Natural gas,EU28,0,0,0.06451212145784373,0.106,0.60860491941362
1084,2003,Natural gas,EU28,0,0,0.06691180049796686,0.102,0.6559980440977143
1085,2004,Natural gas,EU28,0,0,0.047585765771422144,0.1,0.4758576577142214
1086,2005,Natural gas,EU28,0,0,0.04340789250106602,0.094,0.4617860904368725
1087,2006,Natural gas,EU28,0,0,0.04746560200081467,0.091,0.5216000219869744
1088,2007,Natural gas,EU28,0,0,0.04075202123564076,0.09,0.45280023595156405
1089,2008,Natural gas,EU28,0,0,0.03695937539508828,0.09,0.410659726612092
1090,2009,Natural gas,EU28,0,0,0.027199035829912767,0.085,0.3199886568225031
1091,2010,Natural gas,EU28,0,0,0.031088912291282883,0.084,0.37010609870574857
1092,2011,Natural gas,EU28,0,0,0.034132870807748975,0.088,0.38787353190623836
1093,2012,Natural gas,EU28,0,0,0.03512739373850473,0.087,0.40376314641959465
1094,2013,Natural gas,EU28,0,0,0.033305586411664326,0.087,0.38282283231798075
1095,2014,Natural gas,EU28,0,0,0.034311398585358324,0.087,0.39438389178572786
1096,2015,Natural gas,EU28,0,0,0.03011770059405458,0.087,0.3461804665983285
1097,2016,Natural gas,EU28,0,0,0.03403973838632872,0.085,0.4004675104273967
