,Year,Resource,Country,Recycling Rate,Recycling Scenario,Risk,GeoPolRisk Characterization Factor,HHI,Weighted Trade AVerage
138,2016,Zinc,Australia,0,0,0.0240998147494823,53.5637662659044,0.174,0.138504682468289
139,2017,Zinc,Australia,0,0,0.0222728984471538,66.1603084633635,0.158,0.140967711690847
140,2002,Cadmium,Australia,0,0,3.1875391471204e-07,0.000205277521074554,0.065,4.90390638018523e-06
141,2003,Cadmium,Australia,0,0,2.30592942438763e-07,0.00030207675459478,0.106,2.17540511734683e-06
142,2004,Cadmium,Australia,0,0,1.29332126606901e-06,0.00155198551928281,0.09,1.43702362896556e-05
143,2005,Cadmium,Australia,0,0,5.24649214073419e-05,0.173134240644228,0.087,0.000603045073647608
144,2006,Cadmium,Australia,0,0,6.98030625330691e-05,0.208013126348546,0.092,0.000758728940576838
145,2007,Cadmium,Australia,0,0,0.00015140764341588,1.15221216639485,0.091,0.00166382025731736
146,2008,Cadmium,Australia,0,0,0.00015960748463399,0.944876309033221,0.126,0.00126672606852373
147,2009,Cadmium,Australia,0,0,5.38309311907491e-05,0.15449477251745,0.131,0.00041092313886068
148,2010,Cadmium,Australia,0,0,0.000287945306948696,1.12298669709991,0.132,0.00218140384052043
149,2011,Cadmium,Australia,0,0,0.00536554631995258,14.8089078430691,0.121,0.044343358016137
150,2012,Cadmium,Australia,0,0,0.00128311793194786,2.60472940185416,0.134,0.0095755069548348
151,2013,Cadmium,Australia,0,0,4.35361902566718e-05,0.0835894852928098,0.136,0.000320119046004939
152,2014,Cadmium,Australia,0,0,1.34709668298091e-07,0.000261336756498296,0.146,9.22668960945826e-07
153,2015,Cadmium,Australia,0,0,0.000234776197013372,0.345121009609657,0.15,0.00156517464675581
154,2016,Cadmium,Australia,0,0,7.71092384450838e-06,0.0103326379516412,0.132,5.84160897311241e-05
155,2017,Cadmium,Australia,0,0,0.0456817851,79.943123925,0.14,0.326298465
156,2002,Rare earth,Australia,0,0,0.302560810995344,2057.41351476834,0.855,0.353872293561805
157,2003,Rare earth,Australia,0,0,0.338396322644237,1844.25995841109,0.864,0.391662410467866
158,2004,Rare earth,Australia,0,0,0.282423119412464,2092.75531484636,0.89,0.317329347654454
159,2005,Rare earth,Australia,0,0,0.274332240015629,1508.82732008596,0.907,0.302461124603781
160,2006,Rare earth,Australia,0,0,0.412731693852591,1300.10483563566,0.92,0.448621406361512
161,2007,Rare earth,Australia,0,0,0.321234050874125,1336.33365163636,0.911,0.352616960344813
162,2008,Rare earth,Australia,0,0,0.254615741723396,2622.54213975097,0.918,0.277359195777119
163,2009,Rare earth,Australia,0,0,0.0,0.0,0.84,0.0
164,2010,Rare earth,Australia,0,0,0.272088257999746,3945.27974099631,0.812,0.335084061576041
165,2011,Rare earth,Australia,0,0,0.0341084211905938,1435.964532124,0.789,0.0432299381376348
166,2012,Rare earth,Australia,0,0,0.0111919659263359,406.268363125993,0.757,0.0147846313425838
167,2013,Rare earth,Australia,0,0,0.016439809631007,220.293449055494,0.741,0.0221859779095911
168,2014,Rare earth,Australia,0,0,0.00362410475393489,35.6974318262587,0.692,0.00523714559817181
169,2015,Rare earth,Australia,0,0,0.0035545858507958,36.2567756781172,0.647,0.005493950310349
170,2016,Rare earth,Australia,0,0,0.0020886006329924,13.8891942093995,0.66,0.00316454641362485
171,2017,Rare earth,Australia,0,0,0.00147907174520854,10.6197351305973,0.637,0.00232193366594748
172,2002,Silver,Australia,0,0,0.0,0.0,0.092,0.0
173,2003,Silver,Australia,0,0,0.0,0.0,0.092,0.0
174,2004,Silver,Australia,0,0,0.0,0.0,0.093,0.0
175,2005,Silver,Australia,0,0,4.731863629399251e-09,0.00126773729158914,0.093,5.08802540795618e-08
176,2006,Silver,Australia,0,0,0.0,0.0,0.097,0.0
177,2007,Silver,Australia,0,0,0.0,0.0,0.097,0.0
178,2008,Silver,Australia,0,0,0.0,0.0,0.097,0.0
179,2009,Silver,Australia,0,0,0.0,0.0,0.098,0.0
180,2010,Silver,Australia,0,0,0.0,0.0,0.1,0.0
181,2011,Silver,Australia,0,0,7.78349115063015e-08,0.079415620249929,0.104,7.48412610637514e-07
182,2012,Silver,Australia,0,0,5.04690983428962e-11,4.58587290497792e-05,0.107,4.71673816288749e-10
183,2013,Silver,Australia,0,0,1.0845910109147702e-09,0.000758161090372427,0.11,9.85991828104338e-09
184,2014,Silver,Australia,0,0,0.0,0.0,0.102,0.0
185,2015,Silver,Australia,0,0,1.1116262261083001e-10,5.74157836013122e-05,0.103,1.07924876321194e-09
186,2016,Silver,Australia,0,0,0.0,0.0,0.101,0.0
187,2017,Silver,Australia,0,0,0.0,0.0,0.109,0.0
188,2002,Magnesite,Australia,0,0,0.00016007791124457544,0.07027420303636861,0.281,0.0005696722820091652
189,2003,Magnesite,Australia,0,0,0.00011910998043038552,0.060984309980357386,0.296,0.00040239858253508624
190,2004,Magnesite,Australia,0,0,0.00042955796461391615,0.2555869889452801,0.333,0.0012899638576994478
191,2005,Magnesite,Australia,0,0,0.0001610907252172146,0.09568789077902547,0.4,0.00040272681304303644
192,2006,Magnesite,Australia,0,0,0.0004950163138513253,0.2979998209384978,0.378,0.001309566967860649
193,2007,Magnesite,Australia,0,0,0.0007379014315245737,0.3918256601395486,0.394,0.0018728462729050092
194,2008,Magnesite,Australia,0,0,0.0032547788745853484,1.6827206781606252,0.423,0.007694512705875529
195,2009,Magnesite,Australia,0,0,0.0003066073924135527,0.17844550238468768,0.435,0.0007048445802610406
196,2010,Magnesite,Australia,0,0,0.0007889097010342661,0.4741347303215939,0.393,0.0020074038194256134
197,2011,Magnesite,Australia,0,0,0.0004939733732973124,0.3108054465209839,0.419,0.0011789340651487171
198,2012,Magnesite,Australia,0,0,0.00036124088372143173,0.1809816827444373,0.363,0.0009951539496458174
199,2013,Magnesite,Australia,0,0,6.601895293021827e-05,0.03399976075906241,0.396,0.00016671452760156128
200,2014,Magnesite,Australia,0,0,9.627988876982071e-05,0.05824933270574153,0.436,0.0002208254329583044
201,2015,Magnesite,Australia,0,0,0.00011437491263201635,0.04975308699492711,0.406,0.0002817116074680205
202,2016,Magnesite,Australia,0,0,9.6727541077868e-06,0.004168957020456111,0.425,2.2759421430086588e-05
203,2002,Zirconium,Australia,0,0,2.35230337965236e-05,0.00907989104545812,0.31,7.58807541823342e-05
204,2003,Zirconium,Australia,0,0,9.02283878299079e-05,0.0368131822346024,0.294,0.00030689927833302
205,2004,Zirconium,Australia,0,0,4.02046502618041e-05,0.0201827344314256,0.269,0.000149459666400759
206,2005,Zirconium,Australia,0,0,2.133655224805e-05,0.0121618347813885,0.264,8.08202736668561e-05
207,2006,Zirconium,Australia,0,0,6.2660002470456e-05,0.0491881019393079,0.275,0.000227854554438022
208,2007,Zirconium,Australia,0,0,4.47148486215066e-05,0.0341174294982095,0.272,0.000164392825814362
209,2008,Zirconium,Australia,0,0,8.50483035364656e-05,0.0670180631867349,0.27,0.000314993716801724
210,2009,Zirconium,Australia,0,0,5.63056336813075e-05,0.0467336759554852,0.25,0.00022522253472523
211,2010,Zirconium,Australia,0,0,0.0,0.0,0.271,0.0
212,2011,Zirconium,Australia,0,0,0.000135612178287037,0.359372272460648,0.28,0.000484329208167989
213,2012,Zirconium,Australia,0,0,0.000138597862921781,0.367284336742721,0.295,0.000469823264141632
214,2013,Zirconium,Australia,0,0,3.07620472724656e-05,0.0323001496360888,0.279,0.00011025823395149
215,2014,Zirconium,Australia,0,0,0.0,0.0,0.288,0.0
216,2015,Zirconium,Australia,0,0,5.50576447567142e-05,0.0567093740994157,0.303,0.000181708398537011
217,2016,Zirconium,Australia,0,0,0.000103611698851251,0.106720049816789,0.286,0.000362278667312068
218,2002,Antimony,Australia,0,0,0.000329608470955664,0.642736518363544,0.71,0.000464237283036146
219,2003,Antimony,Australia,0,0,0.0,0.0,0.691,0.0
220,2004,Antimony,Australia,0,0,3.69174995916466e-05,0.105953223828026,0.725,5.09206890919264e-05
221,2005,Antimony,Australia,0,0,6.87790326571216e-07,0.0024347777560621,0.742,9.26941140931558e-07
222,2006,Antimony,Australia,0,0,0.0,0.0,0.768,0.0
223,2007,Antimony,Australia,0,0,0.0,0.0,0.787,0.0
224,2008,Antimony,Australia,0,0,0.0,0.0,0.698,0.0
225,2009,Antimony,Australia,0,0,0.00117411867866421,6.10541712905389,0.732,0.00160398726593471
226,2010,Antimony,Australia,0,0,7.79311950469892e-05,0.689691076165854,0.623,0.000125090200717479
227,2011,Antimony,Australia,0,0,6.82584441459268e-06,0.0976095751286753,0.602,1.13386119843732e-05
228,2012,Antimony,Australia,0,0,0.000357923517650834,4.47404397063543,0.586,0.000610790985752277
229,2013,Antimony,Australia,0,0,7.59880103895841e-07,0.00775077705973758,0.613,1.23960865235863e-06
230,2014,Antimony,Australia,0,0,0.000580730130375323,5.44144132161677,0.595,0.000976017025840878
231,2015,Antimony,Australia,0,0,0.0,0.0,0.587,0.0
232,2016,Antimony,Australia,0,0,0.0,0.0,0.557,0.0
233,2002,Asbestos,Australia,0,0,0.0452540274462701,11.6755390811377,0.293,0.154450605618669
234,2003,Asbestos,Australia,0,0,0.0,0.0,0.294,0.0
235,2004,Asbestos,Australia,0,0,0.0,0.0,0.297,0.0
236,2005,Asbestos,Australia,0,0,0.0,0.0,0.321,0.0
237,2006,Asbestos,Australia,0,0,0.0,0.0,0.337,0.0
238,2007,Asbestos,Australia,0,0,0.0,0.0,0.351,0.0
239,2008,Asbestos,Australia,0,0,0.0,0.0,0.354,0.0
240,2009,Asbestos,Australia,0,0,0.0,0.0,0.346,0.0
241,2010,Asbestos,Australia,0,0,0.0,0.0,0.352,0.0
242,2011,Asbestos,Australia,0,0,0.0,0.0,0.352,0.0
243,2012,Asbestos,Australia,0,0,0.0,0.0,0.343,0.0
244,2013,Asbestos,Australia,0,0,0.0,0.0,0.328,0.0
245,2014,Asbestos,Australia,0,0,0.0,0.0,0.315,0.0
246,2015,Asbestos,Australia,0,0,0.0,0.0,0.3,0.0
247,2016,Asbestos,Australia,0,0,0.0,0.0,0.304,0.0
248,2002,Chromium,Australia,0,0,0.0246204878113543,19.597908297838,0.272,0.0905164993064497
249,2003,Chromium,Australia,0,0,0.00919938454385771,8.20585101312108,0.283,0.032506659165575
250,2004,Chromium,Australia,0,0,0.00482779225229446,6.66235330816635,0.247,0.0195457176206253
251,2005,Chromium,Australia,0,0,0.00390612876120313,5.89825442941672,0.228,0.0171321436894874
252,2006,Chromium,Australia,0,0,0.00347406344058662,4.89842945122713,0.214,0.0162339413111524
253,2007,Chromium,Australia,0,0,0.0027749439949793,5.5776374299084,0.228,0.0121708069955233
254,2008,Chromium,Australia,0,0,0.00697407139941081,24.3395091839437,0.221,0.0315568841602299
255,2009,Chromium,Australia,0,0,0.00345901195791943,7.02179427457644,0.212,0.0163160941411294
256,2010,Chromium,Australia,0,0,0.0053931447782441,14.2918336623469,0.221,0.0244033700373036
257,2011,Chromium,Australia,0,0,0.0034121760853936,9.28111895227059,0.231,0.0147713250449939
258,2012,Chromium,Australia,0,0,0.00262674119897641,6.69819005738984,0.24,0.010944754995735
259,2013,Chromium,Australia,0,0,0.00288459243498678,6.49033297872025,0.254,0.0113566631298692
260,2014,Chromium,Australia,0,0,0.112116391207815,292.623781052397,0.253,0.443147791335237
261,2015,Chromium,Australia,0,0,0.11999825054723,292.795731335242,0.272,0.441170038776582
262,2016,Chromium,Australia,0,0,0.103658949208738,225.976509275048,0.254,0.408106099246999
263,2002,Graphite,Australia,0,0,0.339200189440245,167.904093772921,0.672,0.504762186667032
264,2003,Graphite,Australia,0,0,0.374955206882418,175.104081614089,0.719,0.521495419864281
265,2004,Graphite,Australia,0,0,0.305444956163706,143.253684440778,0.685,0.445905045494462
266,2005,Graphite,Australia,0,0,0.344165771082611,184.817019071362,0.708,0.48610984616188
267,2006,Graphite,Australia,0,0,0.329132429253675,182.010233377283,0.697,0.472212954452906
268,2007,Graphite,Australia,0,0,0.217391992961646,138.261307523607,0.528,0.411727259397056
269,2008,Graphite,Australia,0,0,0.246336775232155,203.47417634176,0.588,0.418940093932236
270,2009,Graphite,Australia,0,0,0.260790097036231,233.928717041499,0.662,0.39394274476772
271,2010,Graphite,Australia,0,0,0.331669787707179,264.355290605644,0.719,0.461293167882029
272,2011,Graphite,Australia,0,0,0.284660097208981,321.665909846149,0.6,0.474433495348302
273,2012,Graphite,Australia,0,0,0.228745901047108,276.782540267,0.485,0.47164103308682
274,2013,Graphite,Australia,0,0,0.244100835209597,280.715960491037,0.487,0.501233747863649
275,2014,Graphite,Australia,0,0,0.249545189847069,259.526997440952,0.507,0.492199585497178
276,2015,Graphite,Australia,0,0,0.228672124023369,285.840155029211,0.488,0.468590418080674
277,2016,Graphite,Australia,0,0,0.197210544689498,240.596864521187,0.402,0.490573494252481
278,2017,Graphite,Australia,0,0,0.172477521555874,194.899599358138,0.424,0.406786607443099
279,2002,Natural gas,Australia,0,0,0.0,,0.106,0.0
280,2003,Natural gas,Australia,0,0,1.05639547755527e-07,,0.102,1.03568184074046e-06
281,2004,Natural gas,Australia,0,0,1.3465514304374e-07,,0.1,1.34655143043739e-06
282,2005,Natural gas,Australia,0,0,5.91364632361068e-07,,0.094,6.29111311022413e-06
283,2006,Natural gas,Australia,0,0,0.0,,0.091,0.0
284,2007,Natural gas,Australia,0,0,0.0,,0.09,0.0
285,2008,Natural gas,Australia,0,0,0.0,,0.09,0.0
286,2009,Natural gas,Australia,0,0,0.0,,0.085,0.0
287,2010,Natural gas,Australia,0,0,0.0,,0.084,0.0
288,2011,Natural gas,Australia,0,0,0.0,,0.088,0.0
289,2012,Natural gas,Australia,0,0,0.0,,0.087,0.0
290,2013,Natural gas,Australia,0,0,4.68271129831661e-06,,0.087,5.38242677967426e-05
291,2014,Natural gas,Australia,0,0,2.30047018222153e-07,,0.087,2.64421860025463e-06
292,2015,Natural gas,Australia,0,0,0.0213879355130761,,0.087,0.245838339230759
293,2016,Natural gas,Australia,0,0,5.88783780497102e-07,,0.085,6.92686800584825e-06
294,2017,Natural gas,Australia,0,0,1.01839243241985e-05,,0.086,0.000118417724699983
295,2002,Petroleum,Australia,0,0,0.00923463447320452,,0.055,0.167902444967355
296,2003,Petroleum,Australia,0,0,0.0,,0.058,0.0
297,2004,Petroleum,Australia,0,0,0.0100864795206103,,0.058,0.173904819320867
298,2005,Petroleum,Australia,0,0,0.00973100132036042,,0.059,0.164932225768821
299,2006,Petroleum,Australia,0,0,0.0,,0.058,0.0
300,2007,Petroleum,Australia,0,0,0.00793249822021725,,0.057,0.139166635442408
301,2008,Petroleum,Australia,0,0,0.00809139110819667,,0.06,0.134856518469945
302,2009,Petroleum,Australia,0,0,0.00809266732389678,,0.057,0.141976619717487
303,2010,Petroleum,Australia,0,0,0.00940621196659474,,0.057,0.165021262571838
304,2011,Petroleum,Australia,0,0,0.0123264737876195,,0.059,0.208923284535923
305,2012,Petroleum,Australia,0,0,0.0145760807437411,,0.061,0.238952143340018
306,2013,Petroleum,Australia,0,0,0.0148453323090002,,0.063,0.235640195380956
